"PM_INSTANCE_ID","PM_TRANS_DEFN_SET","PM_TRANS_DEFN_ID","PM_AGENTID","PM_TRANS_STATUS","OPRID","PM_PERF_TRACE","PM_CONTEXT_VALUE1","PM_CONTEXT_VALUE2","PM_CONTEXT_VALUE3","PM_CONTEXTID_1","PM_CONTEXTID_2","PM_CONTEXTID_3","PM_PROCESS_ID","PM_AGENT_STRT_DTTM","PM_MON_STRT_DTTM","PM_TRANS_DURATION","PM_PARENT_INST_ID","PM_TOP_INST_ID","PM_METRIC_VALUE1","PM_METRIC_VALUE2","PM_METRIC_VALUE3","PM_METRIC_VALUE4","PM_METRIC_VALUE5","PM_METRIC_VALUE6","PM_METRIC_VALUE7","SYNCDTTM","PM_ADDTNL_DESCR"
1057012926382123,1,412,13,"1","_unknown_"," ","EMPLOYEE","PSAPPSRV","PortalRegistry",14,15,16,4857,07-MAR-25 09.25.17.481000000 AM,07-MAR-25 09.25.23.466146000 AM,0,1057012926382122,1057012926382122,0,95,50,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
1057012926382124,1,400,13,"1","_unknown_"," ","PNGetEventRep","PSAPPSRV","PNGetEventRep",14,15,16,4857,07-MAR-25 09.25.17.697000000 AM,07-MAR-25 09.25.23.459146000 AM,7,0,1057012926382124,0,0,0,4.221,11,10,"SQL Trace level=0; Peoplecode Trace level=0; Ppr Trace level=0Pia Trace level=0",07-MAR-25 01.25.06.000000000 AM,""
1057012926382125,1,412,13,"1","_unknown_"," ","PNGetEventRep","PSAPPSRV","PNGetEventRep",14,15,16,4857,07-MAR-25 09.25.17.703000000 AM,07-MAR-25 09.25.23.466147000 AM,0,1057012926382124,1057012926382124,0,3,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
1057012926382126,1,400,13,"1","PS"," ","PTNUI_MENU_COMP.GBL","PSAPPSRV","ICPanel",14,15,16,4857,07-MAR-25 09.25.20.664000000 AM,07-MAR-25 09.25.23.258148000 AM,208,1057047286120502,1057047286120501,103,84.228,0,5.649,96,33,"SQL Trace level=0; Peoplecode Trace level=0; Ppr Trace level=0Pia Trace level=0",07-MAR-25 01.25.06.000000000 AM,""
1057012926382127,1,401,13,"1","PS"," ","PTNUI_MENU_COMP.GBL","PTNUI_BC_MENU_PG","Launch Page/Search Page",10,19,20,4857,07-MAR-25 09.25.20.672000000 AM,07-MAR-25 09.25.23.294148000 AM,172,1057012926382126,1057047286120501,87806,4,0,0,0,0,"Launch Page/Search Page",07-MAR-25 01.25.06.000000000 AM,""
1057012926382128,1,412,13,"1","PS"," ","PTNUI_MENU_COMP.GBL","PSAPPSRV","ICPanel",14,15,16,4857,07-MAR-25 09.25.20.872000000 AM,07-MAR-25 09.25.23.466148000 AM,0,1057012926382126,1057047286120501,4,1396,98,6,27,3469," ",07-MAR-25 01.25.06.000000000 AM,""
1057047286120493,1,115,11,"1","PS"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","ICPanel",3,2,6,0,07-MAR-25 09.25.15.314000000 AM,07-MAR-25 09.25.23.935655000 AM,1530,1057047286120492,1057047286120492,14587,577972,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
1057047286120492,1,101,11,"1","PS"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","View Page",3,2,1,0,07-MAR-25 09.25.15.312000000 AM,07-MAR-25 09.25.23.926655000 AM,1539,0,1057047286120492,35702,200,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,"http://instance-psfthcm-monitored.subnet02171257.vcn02171257.oraclevcn.com:5080/psc/ps_1/EMPLOYEE/HRMS/c/NUI_FRAMEWORK.PT_LANDINGPAGE.GBL?"
1057047286120494,1,101,11,"1","PS"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","View Page",3,2,1,0,07-MAR-25 09.25.17.256000000 AM,07-MAR-25 09.25.25.349655000 AM,116,0,1057047286120494,24,200,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,"http://instance-psfthcm-monitored.subnet02171257.vcn02171257.oraclevcn.com:5080/psc/ps_1/EMPLOYEE/HRMS/s/WEBLIB_PTPN.PTPN_ISCRIPT.FieldFormula.IScript_StateChange?name="
1057047286120495,1,115,11,"1","PS"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","ICScript",3,2,6,0,07-MAR-25 09.25.17.259000000 AM,07-MAR-25 09.25.25.353656000 AM,112,1057047286120494,1057047286120494,69480,55825,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
